"","Year","Location","Event","Athelete","Country","Medal","Time","TimeFormat","Altitude","minutes","seconds","totalseconds"
"430",1998,"Nagano, Japan","1000m Men","Jan Bos","NED","SILVER","1:10.71","1:10.71",300,60,10.71,70.71
"431",1998,"Nagano, Japan","1000m Men","Hiroyasu Shimizu","JPN","BRONZE","1:11.00","1:11.00",300,60,11,71
"432",1998,"Nagano, Japan","1500m Men","Ådne Søndrål","NOR","GOLD","1:47.87","1:47.87",300,60,47.87,107.87
"433",1998,"Nagano, Japan","1500m Men","Ids Postma","NED","SILVER","1:48.13","1:48.13",300,60,48.13,108.13
"434",1998,"Nagano, Japan","1500m Men","Rintje Ritsma","NED","BRONZE","1:48.52","1:48.52",300,60,48.52,108.52
"435",1998,"Nagano, Japan","5000m Men","Gianni Romme","NED","GOLD","6:22.20","6:22.20",300,360,22.2,382.2
"436",1998,"Nagano, Japan","5000m Men","Rintje Ritsma","NED","SILVER","6:28.24","6:28.24",300,360,28.24,388.24
"437",1998,"Nagano, Japan","5000m Men","Bart Veldkamp","BEL","BRONZE","6:28.31","6:28.31",300,360,28.31,388.31
"438",1998,"Nagano, Japan","10000m Men","Gianni Romme","NED","GOLD","13:15.33","13:15.33",300,780,15.33,795.33
"439",1998,"Nagano, Japan","10000m Men","Bob de Jong","NED","SILVER","13:25.76","13:25.76",300,780,25.76,805.76
"440",1998,"Nagano, Japan","10000m Men","Rintje Ritsma","NED","BRONZE","13:28.19","13:28.19",300,780,28.19,808.19
"441",1998,"Nagano, Japan","500m Women","Catriona Lemay-Doan","CAN","GOLD","1:16.60","1:16.60",300,60,16.6,76.6
"442",1998,"Nagano, Japan","500m Women","Susan Auch","CAN","SILVER","1:16.93","1:16.93",300,60,16.93,76.93
"443",1998,"Nagano, Japan","500m Women","Tomomi Okazaki","JPN","BRONZE","1:17.10","1:17.10",300,60,17.1,77.1
"444",1998,"Nagano, Japan","1000m Women","Marianne Timmer","NED","GOLD","1:16.51","1:16.51",300,60,16.51,76.51
"445",1998,"Nagano, Japan","1000m Women","Christine Witty","USA","SILVER","1:16.79","1:16.79",300,60,16.79,76.79
"446",1998,"Nagano, Japan","1000m Women","Catriona Lemay-Doan","CAN","BRONZE","1:17.37","1:17.37",300,60,17.37,77.37
"447",1998,"Nagano, Japan","1500m Women","Marianne Timmer","NED","GOLD","1:57.58","1:57.58",300,60,57.58,117.58
"448",1998,"Nagano, Japan","1500m Women","Gunda Niemann","GER","SILVER","1:58.66","1:58.66",300,60,58.66,118.66
"449",1998,"Nagano, Japan","1500m Women","Christine Witty","USA","BRONZE","1:58.97","1:58.97",300,60,58.97,118.97
"450",1998,"Nagano, Japan","3000m Women","Gunda Niemann","GER","GOLD","4:07.29","4:07.29",300,240,7.29,247.29
"451",1998,"Nagano, Japan","3000m Women","Claudia Pechstein","GER","SILVER","4:08.47","4:08.47",300,240,8.47,248.47
"452",1998,"Nagano, Japan","3000m Women","Anna Friesinger","GER","BRONZE","4:09.44","4:09.44",300,240,9.44,249.44
"453",1998,"Nagano, Japan","5000m Women","Claudia Pechstein","GER","GOLD","6:59.61","6:59.61",300,360,59.61,419.61
"454",1998,"Nagano, Japan","5000m Women","Gunda Niemann","GER","SILVER","6:59.65","6:59.65",300,360,59.65,419.65
"455",1998,"Nagano, Japan","5000m Women","Lyudmila Prokasheva","KAZ","BRONZE","7:11.14","7:11.14",300,420,11.14,431.14
"456",1998,"Nagano, Japan","500m Short Track Men","Takafumi Nishitani","JPN","GOLD","42.862","00:42.862",300,0,42.862,42.862
"457",1998,"Nagano, Japan","500m Short Track Men","Yulong An","CHN","SILVER","43.022","00:43.022",300,0,43.022,43.022
"458",1998,"Nagano, Japan","500m Short Track Men","Hitoshi Uematsu","JPN","BRONZE","43.713","00:43.713",300,0,43.713,43.713
"459",1998,"Nagano, Japan","1000m Short Track Men","Dong-Sung Kim","KOR","GOLD","1:32.375","1:32.375",300,60,32.375,92.375
"460",1998,"Nagano, Japan","1000m Short Track Men","Jiajun Li","CHN","SILVER","1:32.428","1:32.428",300,60,32.428,92.428
"461",1998,"Nagano, Japan","1000m Short Track Men","Éric Bédard","CAN","BRONZE","1:32.661","1:32.661",300,60,32.661,92.661
"462",1998,"Nagano, Japan","5000m Short Track Relay Men","Éric Bédard","CAN","GOLD","7:06.075","7:06.075",300,420,6.075,426.075
"463",1998,"Nagano, Japan","5000m Short Track Relay Men","Derrick Campbell","CAN","GOLD","7:06.075","7:06.075",300,420,6.075,426.075
"464",1998,"Nagano, Japan","5000m Short Track Relay Men","Marc Gagnon","CAN","GOLD","7:06.075","7:06.075",300,420,6.075,426.075
"465",1998,"Nagano, Japan","5000m Short Track Relay Men","Francois Drolet","CAN","GOLD","7:06.075","7:06.075",300,420,6.075,426.075
"466",1998,"Nagano, Japan","5000m Short Track Relay Men","Dong-Sung Kim","KOR","SILVER","7:06.776","7:06.776",300,420,6.776,426.776
"467",1998,"Nagano, Japan","5000m Short Track Relay Men","Ji-Hoon Chae","KOR","SILVER","7:06.776","7:06.776",300,420,6.776,426.776
"468",1998,"Nagano, Japan","5000m Short Track Relay Men","Ho-Eung Lee","KOR","SILVER","7:06.776","7:06.776",300,420,6.776,426.776
"469",1998,"Nagano, Japan","5000m Short Track Relay Men","Jun-Hwan Lee","KOR","SILVER","7:06.776","7:06.776",300,420,6.776,426.776
"470",1998,"Nagano, Japan","5000m Short Track Relay Men","Jiajun Li","CHN","BRONZE","7:11.559","7:11.559",300,420,11.559,431.559
"471",1998,"Nagano, Japan","5000m Short Track Relay Men","Yulong An","CHN","BRONZE","7:11.559","7:11.559",300,420,11.559,431.559
"472",1998,"Nagano, Japan","5000m Short Track Relay Men","Kai Feng","CHN","BRONZE","7:11.559","7:11.559",300,420,11.559,431.559
"473",1998,"Nagano, Japan","5000m Short Track Relay Men","Ye Yuan","CHN","BRONZE","7:11.559","7:11.559",300,420,11.559,431.559
"474",1998,"Nagano, Japan","500m Short Track Women","Annie Perreault","CAN","GOLD","46.568","00:46.568",300,0,46.568,46.568
"475",1998,"Nagano, Japan","500m Short Track Women","Yang (S) Yang","CHN","SILVER","46.627","00:46.627",300,0,46.627,46.627
"476",1998,"Nagano, Japan","500m Short Track Women","Lee-Kyung Chun","KOR","BRONZE","46.335","00:46.335",300,0,46.335,46.335
"477",1998,"Nagano, Japan","1000m Short Track Women","Lee-Kyung Chun","KOR","GOLD","1:42.776","1:42.776",300,60,42.776,102.776
"478",1998,"Nagano, Japan","1000m Short Track Women","Yang (S) Yang","CHN","SILVER","1:43.343","1:43.343",300,60,43.343,103.343
"479",1998,"Nagano, Japan","1000m Short Track Women","Hye-Kyung Won","KOR","BRONZE","1:43.361","1:43.361",300,60,43.361,103.361
"480",1998,"Nagano, Japan","3000m Short Track Relay Women","Hye-Kyung Won","KOR","GOLD","4:16.260","4:16.260",300,240,16.26,256.26
"481",1998,"Nagano, Japan","3000m Short Track Relay Women","Lee-Kyung Chun","KOR","GOLD","4:16.260","4:16.260",300,240,16.26,256.26
"482",1998,"Nagano, Japan","3000m Short Track Relay Women","Yoon-Mi Kim","KOR","GOLD","4:16.260","4:16.260",300,240,16.26,256.26
"483",1998,"Nagano, Japan","3000m Short Track Relay Women","Sang-Me An","KOR","GOLD","4:16.260","4:16.260",300,240,16.26,256.26
"484",1998,"Nagano, Japan","3000m Short Track Relay Women","Dandan Sun","CHN","SILVER","4:16.383","4:16.383",300,240,16.383,256.383
"485",1998,"Nagano, Japan","3000m Short Track Relay Women","Yang (S) Yang","CHN","SILVER","4:16.383","4:16.383",300,240,16.383,256.383
"486",1998,"Nagano, Japan","3000m Short Track Relay Women","Yang (A) Yang","CHN","SILVER","4:16.383","4:16.383",300,240,16.383,256.383
"487",1998,"Nagano, Japan","3000m Short Track Relay Women","Chunlu Wang","CHN","SILVER","4:16.383","4:16.383",300,240,16.383,256.383
"488",1998,"Nagano, Japan","3000m Short Track Relay Women","Tania Vicent","CAN","BRONZE","4:21.205","4:21.205",300,240,21.205,261.205
"489",1998,"Nagano, Japan","3000m Short Track Relay Women","Annie Perreault","CAN","BRONZE","4:21.205","4:21.205",300,240,21.205,261.205
"490",1998,"Nagano, Japan","3000m Short Track Relay Women","Isabelle Charest","CAN","BRONZE","4:21.205","4:21.205",300,240,21.205,261.205
"491",1998,"Nagano, Japan","3000m Short Track Relay Women","Christine Boudrias","CAN","BRONZE","4:21.205","4:21.205",300,240,21.205,261.205
"492",2002,"Salt Lake City, United States","500m Men","Casey FitzRandolph","USA","GOLD","69.23","00:69.23",1320,0,69.23,69.23
"493",2002,"Salt Lake City, United States","500m Men","Hiroyasu Shimizu","JPN","SILVER","69.26","00:69.26",1320,0,69.26,69.26
"494",2002,"Salt Lake City, United States","500m Men","Kip Carpenter","USA","BRONZE","69.47","00:69.47",1320,0,69.47,69.47
"495",2002,"Salt Lake City, United States","1000m Men","Gerard van Velde","NED","GOLD","1:07.18","1:07.18",1320,60,7.18,67.18
"496",2002,"Salt Lake City, United States","1000m Men","Jan Bos","NED","SILVER","1:07.53","1:07.53",1320,60,7.53,67.53
"497",2002,"Salt Lake City, United States","1000m Men","Joey Cheek","USA","BRONZE","1:07.61","1:07.61",1320,60,7.61,67.61
"498",2002,"Salt Lake City, United States","1500m Men","Derek Parra","USA","GOLD","1:43.95","1:43.95",1320,60,43.95,103.95
"499",2002,"Salt Lake City, United States","1500m Men","Jochem Uytdehaage","NED","SILVER","1:44.57","1:44.57",1320,60,44.57,104.57
"500",2002,"Salt Lake City, United States","1500m Men","Ådne Søndrål","NOR","BRONZE","1:45.26","1:45.26",1320,60,45.26,105.26
"501",2002,"Salt Lake City, United States","5000m Men","Jochem Uytdehaage","NED","GOLD","6:14.66","6:14.66",1320,360,14.66,374.66
"502",2002,"Salt Lake City, United States","5000m Men","Derek Parra","USA","SILVER","6:17.98","6:17.98",1320,360,17.98,377.98
"503",2002,"Salt Lake City, United States","5000m Men","Jens Boden","GER","BRONZE","6:21.73","6:21.73",1320,360,21.73,381.73
"504",2002,"Salt Lake City, United States","10000m Men","Jochem Uytdehaage","NED","GOLD","12:58.92","12:58.92",1320,720,58.92,778.92
"505",2002,"Salt Lake City, United States","10000m Men","Gianni Romme","NED","SILVER","13:10.03","13:10.03",1320,780,10.03,790.03
"506",2002,"Salt Lake City, United States","10000m Men","Lasse Sätre","NOR","BRONZE","13:16.92","13:16.92",1320,780,16.92,796.92
"507",2002,"Salt Lake City, United States","500m Women","Catriona Lemay-Doan","CAN","GOLD","1:14.75","1:14.75",1320,60,14.75,74.75
"508",2002,"Salt Lake City, United States","500m Women","Monique Garbrecht","GER","SILVER","1:14.94","1:14.94",1320,60,14.94,74.94
"509",2002,"Salt Lake City, United States","500m Women","Sabine Völker","GER","BRONZE","1:15.19","1:15.19",1320,60,15.19,75.19
"510",2002,"Salt Lake City, United States","1000m Women","Christine Witty","USA","GOLD","1:13.83","1:13.83",1320,60,13.83,73.83
"511",2002,"Salt Lake City, United States","1000m Women","Sabine Völker","GER","SILVER","1:13.96","1:13.96",1320,60,13.96,73.96
"512",2002,"Salt Lake City, United States","1000m Women","Jennifer Rodriguez","USA","BRONZE","1:14.24","1:14.24",1320,60,14.24,74.24
"513",2002,"Salt Lake City, United States","1500m Women","Anna Friesinger","GER","GOLD","1:54.02","1:54.02",1320,60,54.02,114.02
"514",2002,"Salt Lake City, United States","1500m Women","Sabine Völker","GER","SILVER","1:54.97","1:54.97",1320,60,54.97,114.97
"515",2002,"Salt Lake City, United States","1500m Women","Jennifer Rodriguez","USA","BRONZE","1:55.32","1:55.32",1320,60,55.32,115.32
"516",2002,"Salt Lake City, United States","3000m Women","Claudia Pechstein","GER","GOLD","3:57.70","3:57.70",1320,180,57.7,237.7
"517",2002,"Salt Lake City, United States","3000m Women","Renate Groenevold","NED","SILVER","3:58.94","3:58.94",1320,180,58.94,238.94
"518",2002,"Salt Lake City, United States","3000m Women","Cindy Klassen","CAN","BRONZE","3:58.97","3:58.97",1320,180,58.97,238.97
"519",2002,"Salt Lake City, United States","5000m Women","Claudia Pechstein","GER","GOLD","6:46.91","6:46.91",1320,360,46.91,406.91
"520",2002,"Salt Lake City, United States","5000m Women","Greta Smit","NED","SILVER","6:49.22","6:49.22",1320,360,49.22,409.22
"521",2002,"Salt Lake City, United States","5000m Women","Clara Hughes","CAN","BRONZE","6:53.53","6:53.53",1320,360,53.53,413.53
"522",2002,"Salt Lake City, United States","500m Short Track Men","Marc Gagnon","CAN","GOLD","41.802","00:41.802",1320,0,41.802,41.802
"523",2002,"Salt Lake City, United States","500m Short Track Men","Jonathan Guilmette","CAN","SILVER","41.994","00:41.994",1320,0,41.994,41.994
"524",2002,"Salt Lake City, United States","500m Short Track Men","Rusty Smith","USA","BRONZE","42.027","00:42.027",1320,0,42.027,42.027
"525",2002,"Salt Lake City, United States","1000m Short Track Men","Steven Bradbury","AUS","GOLD","1:29.109","1:29.109",1320,60,29.109,89.109
"526",2002,"Salt Lake City, United States","1000m Short Track Men","Apolo Anton Ohno","USA","SILVER","1:30.160","1:30.160",1320,60,30.16,90.16
"527",2002,"Salt Lake City, United States","1000m Short Track Men","Mathieu Turcotte","CAN","BRONZE","1:30.563","1:30.563",1320,60,30.563,90.563
"528",2002,"Salt Lake City, United States","5000m Short Track Relay Men","Mathieu Turcotte","CAN","GOLD","6:51.579","6:51.579",1320,360,51.579,411.579
"529",2002,"Salt Lake City, United States","5000m Short Track Relay Men","Francois-Louis Tremblay","CAN","GOLD","6:51.579","6:51.579",1320,360,51.579,411.579
"530",2002,"Salt Lake City, United States","5000m Short Track Relay Men","Jonathan Guilmette","CAN","GOLD","6:51.579","6:51.579",1320,360,51.579,411.579
"531",2002,"Salt Lake City, United States","5000m Short Track Relay Men","Marc Gagnon","CAN","GOLD","6:51.579","6:51.579",1320,360,51.579,411.579
"532",2002,"Salt Lake City, United States","5000m Short Track Relay Men","Nicola Franceschina","ITA","SILVER","6:56.327","6:56.327",1320,360,56.327,416.327
"533",2002,"Salt Lake City, United States","5000m Short Track Relay Men","Maurizio Carnino","ITA","SILVER","6:56.327","6:56.327",1320,360,56.327,416.327
"534",2002,"Salt Lake City, United States","5000m Short Track Relay Men","Fabio Carta","ITA","SILVER","6:56.327","6:56.327",1320,360,56.327,416.327
"535",2002,"Salt Lake City, United States","5000m Short Track Relay Men","Nicola Rodigari","ITA","SILVER","6:56.327","6:56.327",1320,360,56.327,416.327
"536",2002,"Salt Lake City, United States","5000m Short Track Relay Men","Kai Feng","CHN","BRONZE","6:59.633","6:59.633",1320,360,59.633,419.633
"537",2002,"Salt Lake City, United States","5000m Short Track Relay Men","Wei Guo","CHN","BRONZE","6:59.633","6:59.633",1320,360,59.633,419.633
"538",2002,"Salt Lake City, United States","5000m Short Track Relay Men","Ye Li","CHN","BRONZE","6:59.633","6:59.633",1320,360,59.633,419.633
"539",2002,"Salt Lake City, United States","5000m Short Track Relay Men","Jiajun Li","CHN","BRONZE","6:59.633","6:59.633",1320,360,59.633,419.633
"540",2002,"Salt Lake City, United States","1500m Short Track Men","Apolo Anton Ohno","USA","GOLD","2:18.541","2:18.541",1320,120,18.541,138.541
"541",2002,"Salt Lake City, United States","1500m Short Track Men","Jiajun Li","CHN","SILVER","2:18.731","2:18.731",1320,120,18.731,138.731
"542",2002,"Salt Lake City, United States","1500m Short Track Men","Marc Gagnon","CAN","BRONZE","2:18.806","2:18.806",1320,120,18.806,138.806
"543",2002,"Salt Lake City, United States","500m Short Track Women","Yang (A) Yang","CHN","GOLD","44.187","00:44.187",1320,0,44.187,44.187
"544",2002,"Salt Lake City, United States","500m Short Track Women","Evgenia Radanova","BUL","SILVER","44.252","00:44.252",1320,0,44.252,44.252
"545",2002,"Salt Lake City, United States","500m Short Track Women","Chunlu Wang","CHN","BRONZE","44.272","00:44.272",1320,0,44.272,44.272
"546",2002,"Salt Lake City, United States","1000m Short Track Women","Yang (A) Yang","CHN","GOLD","1:36.391","1:36.391",1320,60,36.391,96.391
"547",2002,"Salt Lake City, United States","1000m Short Track Women","Gi-Hyun Ko","KOR","SILVER","1:36.427","1:36.427",1320,60,36.427,96.427
"548",2002,"Salt Lake City, United States","1000m Short Track Women","Yang (S) Yang","CHN","BRONZE","1:37.008","1:37.008",1320,60,37.008,97.008
"549",2002,"Salt Lake City, United States","3000m Short Track Relay Women","Hye-Won Park","KOR","GOLD","4:12.793","4:12.793",1320,240,12.793,252.793
"550",2002,"Salt Lake City, United States","3000m Short Track Relay Women","Min-Jin Joo","KOR","GOLD","4:12.793","4:12.793",1320,240,12.793,252.793
"551",2002,"Salt Lake City, United States","3000m Short Track Relay Women","Eun-Kyung Choi","KOR","GOLD","4:12.793","4:12.793",1320,240,12.793,252.793
"552",2002,"Salt Lake City, United States","3000m Short Track Relay Women","Min-Kyung Choi","KOR","GOLD","4:12.793","4:12.793",1320,240,12.793,252.793
"553",2002,"Salt Lake City, United States","3000m Short Track Relay Women","Yang (S) Yang","CHN","SILVER","4:13.236","4:13.236",1320,240,13.236,253.236
"554",2002,"Salt Lake City, United States","3000m Short Track Relay Women","Chunlu Wang","CHN","SILVER","4:13.236","4:13.236",1320,240,13.236,253.236
"555",2002,"Salt Lake City, United States","3000m Short Track Relay Women","Yang (A) Yang","CHN","SILVER","4:13.236","4:13.236",1320,240,13.236,253.236
"556",2002,"Salt Lake City, United States","3000m Short Track Relay Women","Dandan Sun","CHN","SILVER","4:13.236","4:13.236",1320,240,13.236,253.236
"557",2002,"Salt Lake City, United States","3000m Short Track Relay Women","Marie-Eve Drolet","CAN","BRONZE","4:15.738","4:15.738",1320,240,15.738,255.738
"558",2002,"Salt Lake City, United States","3000m Short Track Relay Women","Isabelle Charest","CAN","BRONZE","4:15.738","4:15.738",1320,240,15.738,255.738
"559",2002,"Salt Lake City, United States","3000m Short Track Relay Women","Amelie Goulet-Nadon","CAN","BRONZE","4:15.738","4:15.738",1320,240,15.738,255.738
"560",2002,"Salt Lake City, United States","3000m Short Track Relay Women","Alanna Kraus","CAN","BRONZE","4:15.738","4:15.738",1320,240,15.738,255.738
"561",2002,"Salt Lake City, United States","1500m Short Track Women","Gi-Hyun Ko","KOR","GOLD","2:31.581","2:31.581",1320,120,31.581,151.581
"562",2002,"Salt Lake City, United States","1500m Short Track Women","Eun-Kyung Choi","KOR","SILVER","2:31.610","2:31.610",1320,120,31.61,151.61
"563",2002,"Salt Lake City, United States","1500m Short Track Women","Evgenia Radanova","BUL","BRONZE","2:31.723","2:31.723",1320,120,31.723,151.723
"564",2006,"Turin, Italy","500m Men","Apolo Anton Ohno","USA","GOLD","69.76","00:69.76",239,0,69.76,69.76
"565",2006,"Turin, Italy","500m Men","Francois-Louis Tremblay","RUS","SILVER","70.41","00:70.41",239,0,70.41,70.41
"566",2006,"Turin, Italy","500m Men","Ahn Hyun-Soo","KOR","BRONZE","70.43","00:70.43",239,0,70.43,70.43
"567",2006,"Turin, Italy","1000m Men","Shani Davis","USA","GOLD","01:08.9","01:08.9",239,60,8.9,68.9
"568",2006,"Turin, Italy","1000m Men","Joey Cheek","USA","SILVER","01:09.2","01:09.2",239,60,9.2,69.2
"569",2006,"Turin, Italy","1000m Men","Erben Wennemars","NED","BRONZE","01:09.3","01:09.3",239,60,9.3,69.3
"570",2006,"Turin, Italy","1500m Men","Enrico Fabris","ITA","GOLD","01:46.0","01:46.0",239,60,46,106
"571",2006,"Turin, Italy","1500m Men","Shani Davis","USA","SILVER","01:46.1","01:46.1",239,60,46.1,106.1
"572",2006,"Turin, Italy","1500m Men","Chad Hedrick","USA","BRONZE","01:46.2","01:46.2",239,60,46.2,106.2
"573",2006,"Turin, Italy","5000m Men","Chad Hedrick","USA","GOLD","06:14.7","06:14.7",239,360,14.7,374.7
"574",2006,"Turin, Italy","5000m Men","Sven Kramer","NED","SILVER","06:16.4","06:16.4",239,360,16.4,376.4
"575",2006,"Turin, Italy","5000m Men","Enrico Fabris","ITA","BRONZE","06:18.2","06:18.2",239,360,18.2,378.2
"576",2006,"Turin, Italy","10000m Men","Bob de Jong","NED","GOLD","13:01.6","13:01.6",239,780,1.6,781.6
"577",2006,"Turin, Italy","10000m Men","Chad Hedrick","USA","SILVER","13:05.4","13:05.4",239,780,5.4,785.4
"578",2006,"Turin, Italy","10000m Men","Carl Verheijen","NED","BRONZE","13:08.8","13:08.8",239,780,8.8,788.8
"579",2006,"Turin, Italy","Team Pursuit Men","Ippolito Sanfratello","ITA","GOLD","03:44.0","03:44.0",239,180,44,224
"580",2006,"Turin, Italy","Team Pursuit Men","Stefano Donagrandi","ITA","GOLD","03:44.0","03:44.0",239,180,44,224
"581",2006,"Turin, Italy","Team Pursuit Men","Enrico Fabris","ITA","GOLD","03:44.0","03:44.0",239,180,44,224
"582",2006,"Turin, Italy","Team Pursuit Men","Matteo Anesi","ITA","GOLD","03:44.0","03:44.0",239,180,44,224
"583",2006,"Turin, Italy","Team Pursuit Men","Steven Elm","CAN","SILVER","03:47.3","03:47.3",239,180,47.3,227.3
"584",2006,"Turin, Italy","Team Pursuit Men","Arne Dankers","CAN","SILVER","03:47.3","03:47.3",239,180,47.3,227.3
"585",2006,"Turin, Italy","Team Pursuit Men","Jason Parker","CAN","SILVER","03:47.3","03:47.3",239,180,47.3,227.3
"586",2006,"Turin, Italy","Team Pursuit Men","Denny Morrison","CAN","SILVER","03:47.3","03:47.3",239,180,47.3,227.3
"587",2006,"Turin, Italy","Team Pursuit Men","Justin Warsylewicz","CAN","SILVER","03:47.3","03:47.3",239,180,47.3,227.3
"588",2006,"Turin, Italy","Team Pursuit Men","Erben Wennemars","NED","BRONZE","03:44.5","03:44.5",239,180,44.5,224.5
"589",2006,"Turin, Italy","Team Pursuit Men","Rintje Ritsma","NED","BRONZE","03:44.5","03:44.5",239,180,44.5,224.5
"590",2006,"Turin, Italy","Team Pursuit Men","Carl Verheijen","NED","BRONZE","03:44.5","03:44.5",239,180,44.5,224.5
"591",2006,"Turin, Italy","Team Pursuit Men","Mark Tuitert","NED","BRONZE","03:44.5","03:44.5",239,180,44.5,224.5
"592",2006,"Turin, Italy","Team Pursuit Men","Sven Kramer","NED","BRONZE","03:44.5","03:44.5",239,180,44.5,224.5
"593",2006,"Turin, Italy","500m Women","Svetlana Zhurova","RUS","GOLD","76.57","00:76.57",239,0,76.57,76.57
"594",2006,"Turin, Italy","500m Women","Wang Manli","CHN","SILVER","76.78","00:76.78",239,0,76.78,76.78
"595",2006,"Turin, Italy","500m Women","Ren Hui","CHN","BRONZE","76.87","00:76.87",239,0,76.87,76.87
"596",2006,"Turin, Italy","1000m Women","Marianne Timmer","NED","GOLD","01:16.1","01:16.1",239,60,16.1,76.1
"597",2006,"Turin, Italy","1000m Women","Cindy Klassen","CAN","SILVER","01:16.1","01:16.1",239,60,16.1,76.1
"598",2006,"Turin, Italy","1000m Women","Anna Friesinger","GER","BRONZE","01:16.1","01:16.1",239,60,16.1,76.1
"599",2006,"Turin, Italy","1500m Women","Cindy Klassen","CAN","GOLD","01:55.3","01:55.3",239,60,55.3,115.3
"600",2006,"Turin, Italy","1500m Women","Kristina Groves","CAN","SILVER","01:56.7","01:56.7",239,60,56.7,116.7
"601",2006,"Turin, Italy","1500m Women","Ireen Wüst","NED","BRONZE","01:56.9","01:56.9",239,60,56.9,116.9
"602",2006,"Turin, Italy","3000m Women","Ireen Wüst","NED","GOLD","04:02.4","04:02.4",239,240,2.4,242.4
"603",2006,"Turin, Italy","3000m Women","Renate Groenevold","NED","SILVER","04:03.5","04:03.5",239,240,3.5,243.5
"604",2006,"Turin, Italy","3000m Women","Cindy Klassen","CAN","BRONZE","04:04.4","04:04.4",239,240,4.4,244.4
"605",2006,"Turin, Italy","5000m Women","Clara Hughes","CAN","GOLD","06:59.1","06:59.1",239,360,59.1,419.1
"606",2006,"Turin, Italy","5000m Women","Claudia Pechstein","GER","SILVER","07:00.1","07:00.1",239,420,0.1,420.1
"607",2006,"Turin, Italy","5000m Women","Cindy Klassen","CAN","BRONZE","07:00.6","07:00.6",239,420,0.6,420.6
"608",2006,"Turin, Italy","Team Pursuit Women","Claudia Pechstein","GER","GOLD","03:01.3","03:01.3",239,180,1.3,181.3
"609",2006,"Turin, Italy","Team Pursuit Women","Anna Friesinger","GER","GOLD","03:01.3","03:01.3",239,180,1.3,181.3
"610",2006,"Turin, Italy","Team Pursuit Women","Daniela Anschütz-Thoms","GER","GOLD","03:01.3","03:01.3",239,180,1.3,181.3
"611",2006,"Turin, Italy","Team Pursuit Women","Sabine Völker","GER","GOLD","03:01.3","03:01.3",239,180,1.3,181.3
"612",2006,"Turin, Italy","Team Pursuit Women","Lucille Opitz","GER","GOLD","03:01.3","03:01.3",239,180,1.3,181.3
"613",2006,"Turin, Italy","Team Pursuit Women","Shannon Rempel","CAN","SILVER","03:02.9","03:02.9",239,180,2.9,182.9
"614",2006,"Turin, Italy","Team Pursuit Women","Kristina Groves","CAN","SILVER","03:02.9","03:02.9",239,180,2.9,182.9
"615",2006,"Turin, Italy","Team Pursuit Women","Clara Hughes","CAN","SILVER","03:02.9","03:02.9",239,180,2.9,182.9
"616",2006,"Turin, Italy","Team Pursuit Women","Christine Nesbitt","CAN","SILVER","03:02.9","03:02.9",239,180,2.9,182.9
"617",2006,"Turin, Italy","Team Pursuit Women","Cindy Klassen","CAN","SILVER","03:02.9","03:02.9",239,180,2.9,182.9
"618",2006,"Turin, Italy","Team Pursuit Women","Galina Likhachova","RUS","BRONZE","","",239,NA,NA,NA
"619",2006,"Turin, Italy","Team Pursuit Women","Yekaterina Lobysheva","RUS","BRONZE","","",239,NA,NA,NA
"620",2006,"Turin, Italy","Team Pursuit Women","Yekaterina Abramova","RUS","BRONZE","","",239,NA,NA,NA
"621",2006,"Turin, Italy","Team Pursuit Women","Varvara Barysheva","RUS","BRONZE","","",239,NA,NA,NA
"622",2006,"Turin, Italy","Team Pursuit Women","Svetlana Vysokova","RUS","BRONZE","","",239,NA,NA,NA
"623",2006,"Turin, Italy","500m Short Track Men","Apolo Anton Ohno","USA","GOLD","41.935","00:41.935",239,0,41.935,41.935
"624",2006,"Turin, Italy","500m Short Track Men","Francois-Louis Tremblay","CAN","SILVER","42.002","00:42.002",239,0,42.002,42.002
"625",2006,"Turin, Italy","500m Short Track Men","Ahn Hyun-Soo","KOR","BRONZE","42.089","00:42.089",239,0,42.089,42.089
"626",2006,"Turin, Italy","1000m Short Track Men","Ahn Hyun-Soo","KOR","GOLD","01:26.7","01:26.7",239,60,26.7,86.7
"627",2006,"Turin, Italy","1000m Short Track Men","Lee Ho-Suk","KOR","SILVER","01:26.8","01:26.8",239,60,26.8,86.8
"628",2006,"Turin, Italy","1000m Short Track Men","Apolo Anton Ohno","USA","BRONZE","01:26.9","01:26.9",239,60,26.9,86.9
"629",2006,"Turin, Italy","5000m Short Track Relay Men","Ahn Hyun-Soo","KOR","GOLD","06:43.4","06:43.4",239,360,43.4,403.4
"630",2006,"Turin, Italy","5000m Short Track Relay Men","Seo Ho-Jin","KOR","GOLD","06:43.4","06:43.4",239,360,43.4,403.4
"631",2006,"Turin, Italy","5000m Short Track Relay Men","Lee Ho-Suk","KOR","GOLD","06:43.4","06:43.4",239,360,43.4,403.4
"632",2006,"Turin, Italy","5000m Short Track Relay Men","Song Suk-Woo","KOR","GOLD","06:43.4","06:43.4",239,360,43.4,403.4
"633",2006,"Turin, Italy","5000m Short Track Relay Men","Francois-Louis Tremblay","CAN","SILVER","06:43.7","06:43.7",239,360,43.7,403.7
"634",2006,"Turin, Italy","5000m Short Track Relay Men","Mathieu Turcotte","CAN","SILVER","06:43.7","06:43.7",239,360,43.7,403.7
"635",2006,"Turin, Italy","5000m Short Track Relay Men","Charles Hamelin","CAN","SILVER","06:43.7","06:43.7",239,360,43.7,403.7
